batter,min_hit_speed,player_type,avg_hit_speed,rowId,avg_hr_distance,name,attempts,max_distance,player_id,brl_pa,barrels,avg_distance,max_hit_speed,season,fbld,brl_percent,gb
502374,50.0,batter,90.6,row_502374,401,Michael McKenry,75,432,502374,4.6%,7,239,108.0,2015,93.7,9.3%,85.7
592647,38.0,batter,86.3,row_592647,390,Dalton Pompey,54,420,592647,1.9%,2,185,108.0,2015,90.5,3.7%,86.7
518934,32.7,batter,90.6,row_518934,410,DJ LeMahieu,399,462,518934,1.6%,10,203,108.0,2015,92.5,2.5%,89.2
425796,38.0,batter,89.1,row_425796,385,Jeff Francoeur,216,435,425796,4.7%,16,212,108.0,2015,90.4,7.4%,88.3
453923,37.5,batter,87.6,row_453923,411,Gregor Blanco,216,434,453923,1.6%,6,208,108.0,2015,91.6,2.8%,84.9
541650,37.6,batter,86.4,row_541650,415,Hernan Perez,180,415,541650,1.1%,3,218,108.0,2015,90.6,1.7%,84.6
598265,33.4,batter,89.2,row_598265,397,Jackie Bradley Jr.,134,430,598265,4.7%,12,211,108.0,2015,95.0,9.0%,84.7
518953,32.1,batter,84.7,row_518953,395,David Lough,79,401,518953,2.1%,3,204,107.9,2015,87.4,3.8%,84.4
474568,29.1,batter,87.2,row_474568,392,Jordy Mercer,290,411,474568,1.6%,7,200,107.9,2015,89.9,2.4%,85.3
516811,36.7,batter,81.1,row_516811,,Eury Perez,77,392,516811,0.8%,1,175,107.9,2015,86.4,1.3%,81.7
543305,40.9,batter,89.3,row_543305,412,Aaron Hicks,245,431,543305,2.3%,9,215,107.8,2015,92.4,3.7%,86.2
600303,59.5,batter,89.6,row_600303,,Tommy La Stella,50,371,600303,2.7%,2,220,107.8,2015,91.3,4.0%,87.8
453562,38.0,batter,84.9,row_453562,393,Jake Arrieta,24,405,453562,4.8%,4,199,107.8,2015,93.3,16.7%,83.6
474233,60.3,batter,90.4,row_474233,379,Hank Conger,114,420,474233,5.2%,12,233,107.8,2015,94.7,10.5%,83.0
446308,38.6,batter,87.6,row_446308,401,Matt Wieters,172,445,446308,3.5%,10,224,107.8,2015,91.6,5.8%,83.7
475174,45.0,batter,87.8,row_475174,396,Yonder Alonso,289,415,475174,2.5%,10,194,107.8,2015,90.7,3.5%,85.6
450314,32.2,batter,89.1,row_450314,383,Ben Zobrist,363,422,450314,2.6%,14,202,107.8,2015,92.4,3.9%,87.2
547973,107.7,batter,107.7,row_547973,,Aroldis Chapman,1,150,547973,0.0%,0,150,107.7,2015,,0.0%,107.7
543228,46.2,batter,88.0,row_543228,402,Yan Gomes,231,432,543228,4.6%,18,235,107.7,2015,90.7,7.8%,84.6
459964,35.5,batter,86.1,row_459964,422,Matt Joyce,162,448,459964,2.5%,7,205,107.7,2015,88.2,4.3%,86.2
460269,27.6,batter,85.7,row_460269,404,Chris Gimenez,71,421,460269,6.2%,7,225,107.7,2015,91.2,9.9%,79.0
572008,45.6,batter,87.3,row_572008,412,Chris Owings,313,426,572008,2.2%,12,218,107.6,2015,89.4,3.8%,86.0
500871,49.0,batter,86.5,row_500871,399,Eduardo Escobar,291,427,500871,4.7%,21,211,107.6,2015,89.8,7.2%,82.9
457759,40.9,batter,89.7,row_457759,397,Justin Turner,297,432,457759,5.3%,23,230,107.6,2015,92.8,7.7%,86.0
424325,37.7,batter,87.0,row_424325,386,David Ross,86,389,424325,3.3%,6,231,107.6,2015,92.6,7.0%,83.7
