5285,Samuel Deduno,- - -,5,0.0 %,80.0 %,0.00,.200,.200,.400,.600,.200,0.1,1.000, , ,0.0,0,-0.2,.257,76
13074,Yu Darvish,Rangers,5,0.0 %,40.0 %,0.00,.200,.200,.400,.600,.200,0.1,.333, , ,0.0,0,-0.2,.257,56
7593,Jordan Lyles,Rockies,52,5.8 %,40.4 %,0.14,.188,.235,.313,.548,.125,1.2,.308, , ,0.0,3,-2.6,.245,35
10130,Mike Leake,Reds,74,0.0 %,45.9 %,0.00,.176,.188,.338,.527,.162,2.6,.313, , ,0.0,3,-4.5,.230,40
2859,Ross Detwiler,Nationals,4,25.0 %,25.0 %,1.00,.000,.333,.000,.333,.000,2.6,.000, , ,0.0,0,-0.2,.230,41
3580,C.J. Wilson,Angels,3,33.3 %,66.7 %,0.50,.000,.333,.000,.333,.000,2.6,.000, , ,0.0,0,-0.2,.230,46
10197,Shelby Miller,Cardinals,63,3.2 %,39.7 %,0.08,.188,.220,.292,.512,.104,2.6,.391, , ,0.0,3,-4.0,.227,41
4153,Jake Arrieta,Cubs,47,4.3 %,34.0 %,0.13,.179,.220,.282,.502,.103,4.1,.304, , ,0.0,2,-3.1,.223,37
1636,Cliff Lee,Phillies,25,0.0 %,36.0 %,0.00,.250,.250,.250,.500,.000,1.6,.400, , ,0.0,1,-1.7,.223,37
2586,Wandy Rodriguez,Pirates,8,0.0 %,25.0 %,0.00,.250,.250,.250,.500,.000,0.1,.333, , ,0.0,0,-0.5,.223,40
4026,Hector Santiago,Angels,5,0.0 %,20.0 %,0.00,.250,.250,.250,.500,.000,0.1,.333, , ,0.0,0,-0.3,.223,41
10123,Kyle Gibson,Twins,4,0.0 %,50.0 %,0.00,.250,.250,.250,.500,.000,0.1,.500, , ,0.0,0,-0.3,.223,35
11471,Dallas Beeler,Cubs,4,0.0 %,50.0 %,0.00,.250,.250,.250,.500,.000,0.1,.500, , ,0.0,0,-0.3,.223,37
11682,Carlos Martinez,Cardinals,13,0.0 %,30.8 %,0.00,.250,.250,.250,.500,.000,0.1,.375, , ,0.0,1,-0.9,.223,38
11855,Yordano Ventura,Royals,5,0.0 %,60.0 %,0.00,.250,.250,.250,.500,.000,2.6,1.000, , ,0.0,0,-0.3,.223,34
6562,Alex Cobb,Rays,9,0.0 %,22.2 %,0.00,.125,.222,.250,.472,.125,0.1,.167, , ,0.0,0,-0.6,.223,40
10954,Jacob deGrom,Mets,53,1.9 %,24.5 %,0.08,.217,.234,.261,.495,.043,1.2,.303, , ,0.0,2,-3.6,.221,39
10185,Jacob Turner,- - -,29,3.4 %,41.4 %,0.08,.174,.208,.261,.469,.087,0.8,.364, , ,0.0,1,-1.9,.210,39
2036,Clayton Kershaw,Dodgers,74,5.4 %,31.1 %,0.17,.175,.235,.206,.442,.032,6.6,.275, , ,0.1,2,-5.9,.206,30
7775,Daisuke Matsuzaka,Mets,17,5.9 %,35.3 %,0.17,.182,.250,.182,.432,.000,0.1,.400, , ,0.0,0,-1.4,.206,29
13125,Gerrit Cole,Pirates,52,3.8 %,32.7 %,0.12,.174,.208,.239,.447,.065,0.9,.250, , ,0.0,1,-4.3,.203,26
510,Josh Beckett,Dodgers,43,2.3 %,32.6 %,0.07,.179,.200,.256,.456,.077,2.6,.280, , ,0.0,1,-3.5,.203,28
10058,Tyler Matzek,Rockies,43,4.7 %,30.2 %,0.15,.184,.225,.211,.436,.026,0.9,.280, , ,0.0,1,-3.6,.200,4
1757,Dan Haren,Dodgers,60,5.0 %,33.3 %,0.15,.185,.228,.204,.432,.019,0.5,.294, , ,0.0,1,-5.1,.200,25
4972,Cole Hamels,Phillies,69,0.0 %,40.6 %,0.00,.210,.210,.242,.452,.032,0.1,.382, , ,0.0,2,-5.8,.200,21
8782,Andrew Cashner,Padres,42,2.4 %,33.3 %,0.07,.171,.194,.257,.452,.086,4.7,.286, , ,0.0,1,-3.6,.199,24
7872,Tyson Ross,Padres,63,4.8 %,34.9 %,0.14,.179,.230,.196,.426,.018,2.4,.286, , ,0.0,1,-5.4,.198,23
978,Bronson Arroyo,Diamondbacks,31,0.0 %,38.7 %,0.00,.222,.222,.222,.444,.000,2.6,.400, , ,0.0,1,-2.7,.198,15
2233,Adam Wainwright,Cardinals,82,3.7 %,26.8 %,0.14,.181,.213,.222,.436,.042,1.1,.260, , ,0.0,2,-7.1,.198,21
1478,Felix Doubront,- - -,8,12.5 %,62.5 %,0.20,.143,.250,.143,.393,.000,0.1,.500, , ,0.0,0,-0.7,.198,19
4732,Matt Cain,Giants,30,6.7 %,43.3 %,0.15,.148,.233,.148,.381,.000,0.6,.286, , ,0.0,0,-2.8,.189,18
10021,Mike Minor,Braves,48,2.1 %,33.3 %,0.06,.156,.174,.244,.418,.089,2.2,.214, , ,0.0,1,-4.6,.186,12
4505,Jordan Zimmermann,Nationals,67,3.0 %,31.3 %,0.10,.182,.207,.200,.407,.018,1.1,.286, , ,0.0,1,-6.5,.184,9
8223,Brett Anderson,Rockies,15,0.0 %,46.7 %,0.00,.143,.143,.286,.429,.143,0.1,.286, , ,0.0,0,-1.5,.183,-8
6986,Ian Kennedy,Padres,63,7.9 %,38.1 %,0.21,.115,.193,.192,.385,.077,0.8,.185, , ,0.0,1,-6.1,.183,13
3254,Jeff Samardzija,- - -,38,0.0 %,26.3 %,0.00,.176,.167,.265,.431,.088,2.6,.231, , ,0.0,0,-3.8,.181,8
2429,Corey Kluber,Indians,6,0.0 %,33.3 %,0.00,.200,.200,.200,.400,.000,0.1,.333, , ,0.0,0,-0.6,.178,4
7942,Christian Friedrich,Rockies,5,0.0 %,40.0 %,0.00,.200,.200,.200,.400,.000,0.1,.333, , ,0.0,0,-0.5,.178,-11
10982,Chase Whitley,Yankees,5,0.0 %,0.0 %,0.00,.200,.200,.200,.400,.000,0.1,.200, , ,0.0,0,-0.5,.178,5
5669,Henderson Alvarez,Marlins,67,1.5 %,29.9 %,0.05,.193,.203,.193,.396,.000,0.6,.289, , ,0.0,0,-6.8,.178,7
12049,Kyle Hendricks,Cubs,30,10.0 %,36.7 %,0.27,.125,.222,.125,.347,.000,0.6,.231, , ,0.0,0,-3.1,.176,4
1841,Edwin Jackson,Cubs,44,0.0 %,47.7 %,0.00,.175,.175,.225,.400,.050,1.3,.368, , ,0.0,0,-4.5,.176,4
9434,Dallas Keuchel,Astros,4,25.0 %,50.0 %,0.50,.000,.250,.000,.250,.000,2.6,.000, , ,0.0,0,-0.4,.172,4
11176,David Buchanan,Phillies,39,10.3 %,25.6 %,0.40,.100,.206,.133,.339,.033,1.3,.150, , ,0.0,0,-4.1,.171,2
10304,Jarred Cosart,- - -,24,0.0 %,29.2 %,0.00,.190,.190,.190,.381,.000,1.1,.286, , ,0.0,0,-2.5,.170,6
8779,Wade Miley,Diamondbacks,69,4.3 %,20.3 %,0.21,.158,.200,.158,.358,.000,1.1,.209, , ,0.0,0,-7.5,.168,-6
2038,Justin Masterson,- - -,13,0.0 %,30.8 %,0.00,.182,.182,.182,.364,.000,2.6,.286, , ,0.0,0,-1.6,.162,-5
14444,Hyun-Jin Ryu,Dodgers,56,1.8 %,30.4 %,0.06,.149,.167,.191,.358,.043,2.6,.233, , ,0.0,0,-6.4,.161,-1
512,A.J. Burnett,Phillies,65,4.6 %,35.4 %,0.13,.133,.175,.167,.341,.033,2.4,.216, , ,0.0,-1,-7.6,.158,-7
10131,Stephen Strasburg,Nationals,76,9.2 %,34.2 %,0.27,.100,.194,.117,.311,.017,1.0,.176, , ,0.0,-1,-8.9,.158,-9
8362,Homer Bailey,Reds,51,3.9 %,35.3 %,0.11,.146,.186,.146,.332,.000,1.9,.261, , ,0.0,-1,-6.0,.156,-10
11334,Tyler Lyons,Cardinals,9,22.2 %,55.6 %,0.40,.000,.222,.000,.222,.000,0.1,.000, , ,0.0,0,-1.1,.153,-10
1137,Jerome Williams,- - -,16,0.0 %,25.0 %,0.00,.167,.167,.167,.333,.000,0.1,.250, , ,0.0,0,-2.0,.149,-13
4424,Jon Niese,Mets,65,9.2 %,44.6 %,0.21,.091,.180,.109,.289,.018,1.2,.192, , ,0.0,-1,-8.1,.147,-11
10547,Jimmy Nelson,Brewers,22,0.0 %,31.8 %,0.00,.143,.143,.190,.333,.048,1.6,.214, , ,0.0,0,-2.8,.146,-19
7312,Josh Collmenter,Diamondbacks,58,5.2 %,25.9 %,0.20,.111,.158,.148,.306,.037,0.9,.154, , ,0.0,-1,-7.4,.144,-22
5088,Franklin Morales,Rockies,39,7.7 %,38.5 %,0.20,.100,.182,.100,.282,.000,1.6,.200, , ,0.0,-1,-5.0,.144,-35
13050,Anthony DeSclafani,Marlins,11,9.1 %,27.3 %,0.33,.100,.182,.100,.282,.000,2.6,.143, , ,0.0,0,-1.4,.144,-16
2047,Jorge de la Rosa,Rockies,67,1.5 %,38.8 %,0.04,.150,.164,.150,.314,.000,2.6,.265, , ,0.0,-1,-8.6,.143,-35
