PlayerID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
7624,Carlos Torres,Mets,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
7739,Travis d'Arnaud,Mets,1,1,1,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
8175,Chris Nelson,- - -,2,2,2,2,2,0,0,0,0,3,1.000,0,0,0,0,0,0,0,0,1.000
9219,Danny Espinosa,Nationals,1,1,1,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
9328,Drew Stubbs,Indians,7,5,7,5,4,0,1,0,0,9,1.000,0,0,0,2,0,0,0,0,1.000
9345,Brock Holt,Red Sox,2,1,2,1,1,0,0,0,0,2,1.000,0,0,0,1,0,0,0,0,1.000
9414,Quintin Berry,Red Sox,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
9853,Sean Halton,Brewers,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
9871,Bryan Anderson,White Sox,1,1,1,1,0,1,0,0,0,2,1.000,0,0,0,0,0,0,0,0,1.000
10021,Mike Minor,Braves,2,2,2,2,1,1,0,0,0,3,1.000,0,0,0,0,0,0,0,0,1.000
10131,Stephen Strasburg,Nationals,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
10154,Donald Lutz,Reds,1,1,1,1,1,0,0,0,0,2,1.000,0,0,0,0,0,0,0,0,1.000
10155,Mike Trout,Angels,3,3,3,3,3,0,0,0,0,3,1.000,0,0,0,0,0,0,0,0,1.000
10306,Oswaldo Arcia,Twins,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
10329,Reymond Fuentes,Padres,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
10416,Wilfredo Tovar,Mets,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
10542,Derek Dietrich,Marlins,2,2,2,2,2,0,0,0,0,3,1.000,0,0,0,0,0,0,0,0,1.000
10593,Joey Terdoslavich,Braves,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
10655,Rob Brantly,Marlins,1,1,1,1,1,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,1.000
10815,Jurickson Profar,Rangers,3,2,3,2,2,0,0,0,0,2,1.000,0,0,0,0,1,0,0,0,1.000
11200,Kole Calhoun,Angels,4,3,4,3,3,0,0,0,0,4,1.000,0,0,0,1,0,0,0,0,1.000
11713,Matt Harvey,Mets,1,1,1,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
13110,Yoenis Cespedes,Athletics,1,1,1,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
14225,Yasiel Puig,Dodgers,5,2,5,2,2,0,0,0,0,4,1.000,0,0,0,3,0,0,0,0,1.000
14441,Henry Urrutia,Orioles,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
14444,Hyun-Jin Ryu,Dodgers,1,1,1,1,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
3433,Allen Craig,Cardinals,7,6,7,5,5,0,0,0,0,6,.833,0,0,0,1,0,0,0,0,.833
5666,Devin Mesoraco,Reds,6,6,6,5,5,0,0,0,0,6,.833,0,0,0,0,0,0,0,0,.833
7304,Salvador Perez,Royals,6,6,7,5,4,1,0,0,0,8,.833,0,0,0,1,0,0,0,0,.833
