PlayerID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
412,Jake Westbrook,Cardinals,1,1,1,1,0,,0,0,0,2,1.000,0,0,0,0,0,0,0,0,1.000
2233,Adam Wainwright,Cardinals,1,1,1,1,1,,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
3815,Mat Latos,Reds,1,1,1,1,1,,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
5985,Randall Delgado,Diamondbacks,1,1,1,1,1,,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
7624,Carlos Torres,Mets,1,1,1,1,1,,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
10021,Mike Minor,Braves,2,2,2,2,1,,0,0,0,3,1.000,0,0,0,0,0,0,0,0,1.000
10131,Stephen Strasburg,Nationals,1,1,1,1,1,,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
11713,Matt Harvey,Mets,1,1,1,1,0,,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
14444,Hyun-Jin Ryu,Dodgers,1,1,1,1,1,,0,0,0,1,1.000,0,0,0,0,0,0,0,0,1.000
944,Barry Zito,Giants,2,2,2,1,1,,0,0,0,1,.500,0,0,0,0,0,0,0,0,.500
8782,Andrew Cashner,Padres,2,2,2,1,1,,0,0,0,1,.500,0,0,0,0,0,0,0,0,.500
232,Jon Garland,Rockies,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
404,CC Sabathia,Yankees,1,1,1,0,0,,0,0,0,1,.000,0,0,0,0,0,0,0,0,.000
739,Kyle Lohse,Brewers,2,0,2,0,0,,0,0,0,2,.000,0,0,0,0,2,0,0,0,.000
978,Bronson Arroyo,Reds,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
1011,Ryan Vogelsong,Giants,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
1118,Marco Estrada,Brewers,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
1636,Cliff Lee,Phillies,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
1767,Kevin Correia,Twins,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
2036,Clayton Kershaw,Dodgers,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
2520,Lance Lynn,Cardinals,2,1,2,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
2608,Jhoulys Chacin,Rockies,1,0,1,0,0,,0,0,0,1,.000,0,0,0,1,0,0,0,0,.000
2929,Jeff Locke,Pirates,2,2,2,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
3254,Jeff Samardzija,Cubs,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
4153,Jake Arrieta,Cubs,1,0,1,0,0,,0,0,0,1,.000,0,0,0,0,1,0,0,0,.000
4338,Tyler Chatwood,Rockies,2,2,2,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
4424,Jon Niese,Mets,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
4505,Jordan Zimmermann,Nationals,1,0,1,0,0,,0,0,0,1,.000,0,0,0,1,0,0,0,0,.000
4676,Charlie Morton,Pirates,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
4684,Jeff Francis,Rockies,1,0,1,0,0,,0,0,0,1,.000,0,0,0,1,0,0,0,0,.000
5279,Chris Tillman,Orioles,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
5350,Alex Sanabia,Marlins,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
5523,James McDonald,Pirates,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
5524,Madison Bumgarner,Giants,3,2,3,0,0,,0,0,0,2,.000,0,0,0,1,0,1,0,0,.000
6204,Shaun Marcum,Mets,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
6230,Kyle Kendrick,Phillies,1,1,1,0,0,,0,0,0,1,.000,0,0,0,0,0,0,0,0,.000
6283,Scott Feldman,Orioles,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
6570,Tom Koehler,Marlins,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
6797,Julio Teheran,Braves,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
6986,Ian Kennedy,Padres,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
7080,John Lannan,Phillies,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
7448,Gio Gonzalez,Nationals,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
7731,Juan Nicasio,Rockies,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
8036,Thad Weber,Padres,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
8362,Homer Bailey,Reds,2,2,2,0,0,,0,0,0,0,.000,0,0,0,0,0,1,0,0,.000
8404,Alfredo Figaro,Brewers,1,1,1,0,0,,0,0,0,1,.000,0,0,0,0,0,0,0,0,.000
9132,Nathan Eovaldi,Marlins,2,2,2,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
9323,Patrick Corbin,Diamondbacks,2,2,2,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
9761,Joe Kelly,Cardinals,2,2,2,0,0,,0,0,0,1,.000,0,0,0,0,0,0,0,0,.000
10065,Johnny Hellweg,Brewers,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
10185,Jacob Turner,Marlins,2,1,2,0,0,,0,0,0,0,.000,0,0,0,0,1,1,0,0,.000
10466,Taylor Jordan,Nationals,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
11366,Brandon Cumpton,Pirates,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,0,0,0,.000
11530,Jose Fernandez,Marlins,2,1,2,0,0,,0,0,0,1,.000,0,0,0,1,0,0,0,0,.000
12235,Seth Maness,Cardinals,1,1,1,0,0,,0,0,0,0,.000,0,0,0,0,0,1,0,0,.000
12555,Tony Cingrani,Reds,1,0,1,0,0,,0,0,0,0,.000,0,0,0,0,1,0,0,0,.000
